service_id,date,exception_type
17U_S,20170619,1
17U_S,20170620,1
17U_S,20170621,1
17U_S,20170622,1
17U_S,20170623,1
17U_F1,20170624,1
17U_I,20170625,1
17U_S,20170626,1
17U_S,20170627,1
17U_S,20170628,1
17U_S,20170629,1
17U_S,20170630,1
17U_F2,20170701,1
17U_I,20170702,1
17U_S,20170703,1
17U_S,20170704,1
17U_S,20170705,1
17U_S,20170706,1
17U_S,20170707,1
17U_A,20170708,1
17U_I,20170709,1
17U_S,20170710,1
17U_S,20170711,1
17U_S,20170712,1
17U_S,20170713,1
17U_S,20170714,1
17U_A,20170715,1
17U_I,20170716,1
17U_S,20170717,1
17U_S,20170718,1
17U_S,20170719,1
17U_S,20170720,1
17U_S,20170721,1
17U_A,20170722,1
17U_I,20170723,1
17U_S,20170724,1
17U_S,20170725,1
17U_S,20170726,1
17U_S,20170727,1
17U_S,20170728,1
17U_A,20170729,1
17U_I,20170730,1
17U_S,20170731,1
17U_S,20170801,1
17U_S,20170802,1
17U_S,20170803,1
17U_S,20170804,1
17U_A,20170805,1
17U_I,20170806,1
17U_S,20170807,1
17U_S,20170808,1
17U_S,20170809,1
17U_S,20170810,1
17U_S,20170811,1
17U_A,20170812,1
17U_I,20170813,1
17U_S,20170814,1
17U_S,20170815,1
17U_S,20170816,1
17U_S,20170817,1
17U_S,20170818,1
17U_A,20170819,1
17U_I,20170820,1
17U_S,20170821,1
17U_S,20170822,1
17U_S,20170823,1
17U_S,20170824,1
17U_S,20170825,1
17U_A,20170826,1
17U_I,20170827,1
17S_S,20170828,1
17S_S,20170829,1
17S_S,20170830,1
17S_S,20170831,1
17S_S,20170901,1
17S_A,20170902,1
17S_I,20170903,1
17S_F1,20170904,1
17S_S,20170905,1
17S_S,20170906,1
17S_S,20170907,1
17S_S,20170908,1
17S_A,20170909,1
17S_I,20170910,1
17S_S,20170911,1
17S_S,20170912,1
17S_S,20170913,1
17S_S,20170914,1
17S_S,20170915,1
17S_A,20170916,1
17S_I,20170917,1
17S_S,20170918,1
17S_S,20170919,1
17S_S,20170920,1
17S_S,20170921,1
17S_S,20170922,1
17S_A,20170923,1
17S_I,20170924,1
17S_S,20170925,1
17S_S,20170926,1
17S_S,20170927,1
17S_S,20170928,1
17S_S,20170929,1
17S_A,20170930,1
17S_I,20171001,1
17S_S,20171002,1
17S_S,20171003,1
17S_S,20171004,1
17S_S,20171005,1
17S_S,20171006,1
17S_A,20171007,1
17S_I,20171008,1
17S_F2,20171009,1
17S_S,20171010,1
17S_S,20171011,1
17S_S,20171012,1
17S_S,20171013,1
17S_A,20171014,1
17S_I,20171015,1
17S_S,20171016,1
17S_S,20171017,1
17S_S,20171018,1
17S_S,20171019,1
17S_S,20171020,1
17S_A,20171021,1
17S_I,20171022,1
17S_S,20171023,1
17S_S,20171024,1
17S_S,20171025,1
17S_S,20171026,1
17S_S,20171027,1
17S_A,20171028,1
17S_I,20171029,1
